N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
400;01\02\057;;;Archeologia preistorica e protostorica;AA.VV.;Abstracts;XII international congress of prehistoric and protohistoric;;A.B.A.C.O.;Forlì;1.996;390;;;;"Summary:

THÈ WORKSHOPS

WORKSHOP1                                            3

PALEOZOOGEOGRAFIA DELLA REGIONE MEDITERRANEA -
TARDO PLEISTOCENE E OLOCENE - SINTESI DELLE CONOSCENZE 
PALÉOZOOGÉOGRAPHIE DE LA RÉGION MÉDITERRANÉENNE - PLEISTOCÈNE 
FINAL ET HOLOCÈNE - SYNTHÈSE DES CONNAISSANCES 
PALEOZOOGEOGRAPHY OF THÈ MEDITERRANEAN RÉGION -
LATE PLEISTOCENE AND HOLOCÈNE - SYNTHESIS OF KNOWLEDGE 
Coordinatore/Coordinateur/Coordinator: Marco MASSETI

WORKSHOP 2                                              9

VARIAZIONI CLIMATICHE DEL TARDIGLACIALE E DELL'OLOCENE ANTICO

NELL'ITALIA PENINSULARE

VARIATIONS CL1MATIQUES DU TARDIGLACIAIRE ET DE L'HOLOCÈNE

ANCIEN DANS LITALIE PÉN1NSULAIRE

LATE GLACIALAND EARLY HOLOCÈNE PALAEOCLIMATOLOGY

Coordinatore/Coordinateur/Coordinator: Benedetto SALA

Collaboratori/Collaborateurs/Collaborators: Marco RUSTIONI, Paul MAZZA

WORKSHOP 3 - Sponsored by U.N.I.R.E.

IL CAVALLO: LA SUA DOMESTICAZIONE, LA SUA DIFFUSIONE

E IL RUOLO NELLE COMUNITÀ DEL PASSATO

LE CHEVAL: SA DOMESTICATION, SA DIFFUSION ET SON RÒLE

DANS LES COMMUNAUTÉS DU PASSE

THÈ HORSE: ITS DOMESTICATION, DIFFUSION AND ROLE

IN PAST COMMUNITIES

Coordinatori/Coordinateurs/Coordinators: Antonio TAGLIACOZZO,

Jacopo DE GROSSI MAZZORIN, Francesca ALAHIQUE

WORKSHOP 4

L'INDUSTRIA SU OSSO DEL PALEOLITICO INFERIORE E MEDIO:

NUOVI METODI DI ANALISI

L'INDUSTRIE SUR OS DU PALÉOLITHIQUE INFÉRIEUR ET MOYEN:

NOUVELLES MÉTHODES D'ANALYSES

LOWER AND MIDDLE PALAEOLITHIC BONE INDUSTRIES:

NEW ANALYTICAL METHODS 
Coordinatore/Coordinateur/Coordinator: Marylène PATOU-MATHIS

WORKSHOP 5                                             33

MIDDLE PALAEOLITHIC AND MIDDLE STONE AGE SETTLEMENT

SYSTEMS

Coordinatori/Coordinateurs/Coordinators: Nicholas CONARD, Fred WENDORF

WORKSHOP 6                                              45

UOMINI E VULCANI ATTIVI DURANTE LA PREISTORIA E

LA PROTOSTORIA

HOMMES ET VOLCANS ACTIFS PENDANT LA PRÉHISTOIRE ET LA

PROTOHISTORIE

MEN AND ACTIVE VOLCANOES DURINO PREH1STORY AND

PROTOHISTORY

Coordinatore/Coordinateur/Coordinator: Jean-Paul RAYNAL

Con la collaborazione di/Avec la collaboration de/With thè collaboration of:

Claude ALBORE-LIVADIE, Gerhard BOSINSKI, Marcello PIPERNO

WORKSHOP 7                                             51

L'AMBRA IN ARCHEOLOGIA 
L'AMBRE EN ARCHEOLOGIE 
AMBER IN ARCHAEOLOGY

Coordinatori/Coordinateurs/Coordinators: Curt W. BECK, 
Nuccia NEGRONI CATACCHIO

WORKSHOP 8                                             69

GRUPPI SOCIALI DELLA PREISTORIA RECENTE E PROTOSTORIA

NELL'AFRICA NORD-ORIENTALE

GROUPES SOCIAUX DE LA PRÉHISTOIRE RECENTE ET PROTOHISTOIRE

DE L'AFRIQUE NORD ORIENTALE

LATE PREHISTORIC AND PROTOHISTORIC SOCIAL GROUPS

IN NORTHEASTERN AFRICA

Coordinatore/Coordinateur/Coordinator: Lech KRZYZANIAK

WORKSHOP 9                                             83

DICTIONNAIRE DE PRÉHISTOIRE SAHAR1ENNE 
Coordinatori/Coordinateurs/Coordinators: Barbara E. BARICH, 
M. Karl STRIEDTER, Thierry TILLET

WORKSHOP10                                              85

BENI ARCHEOLOGICI: PATRIMONIO DELLO STATO, DEGLI ARCHEOLOGI,

DEI VOLONTARI, DEI CITTADINI

BIENS ARCHÉOLOGIQUES: PATRIMOINE DE L' ÉTAT, DES ARCHÉOLOGUES,

DES VOLONTAIRES, DES CITOYENS

ARCHAEOLOGICAL HERITAGE: THÈ HERITAGE OF THÈ STATE,

ARCHAEOLOGISTS, VOLUNTEERS AND CITIZENS

Coordinatorì/Coordinateurs/Coordinators: Michael HEYWORTH,

Adriana MARTINI
WORKSHOP11                                               95

PROBLEMI DI CONSERVAZIONE DEI MATERIALI E DELLE STRUTTURE 
ARCHEOLOGICHE: PROGETTAZIONE, DIAGNOSI, INTERVENTI 
PROBLÈMES DE CONSERVATION DES MATÉRIAUX ET DES STRUCTURES 
ARCHÉOLOGIQUES: ÉTUDES, DIAGNOSTIC ET INTERVENTIONS 
PROBLEMS IN THÈ CONSERVATION OF ARCHAEOLOGICAL MATERIALS 
AND STRUCTURES: PLANNING, DIAGNOSES, INTERVENTION 
Coordinatori/Coordinateurs/Coordinators: Claudio";;
399;01\02\058;;;Archeologia preistorica e protostorica;AA.VV.;Dai dolmen alla città;Progetti per l'area megalitica di San Corleans;;regione Valle d'Aosta;Aosta;1.992;98;;;;;;
427;01\02\059;;;Archeologia preistorica e protostorica;Bocquet A. - F.Ballet;Il y a 3000 ans…Les artisans du Lac du Bourget;;;Centre de documentation de la préhistoire alpine;Grenoble;1.979;28;;;;;;
428;01\02\060;;;Archeologia preistorica e protostorica;Ferrari A.;La dea ferita;un affresco di Tera e le origini di un mito;;Tirrenia Stampatori;Torino;1.994;70;;;;;;
474;01\02\061;;;Archeologia preistorica e protostorica;Rossi M.;La grotta del Mian;Archeologia e ambiente della Valle Stretta;;Antropologia Alpina;Torino;1.997;130;;Monzeglio G.;;;;
475;01\02\062;;;Archeologia preistorica e protostorica;Drappero N.;Usseglio   vol.3;Incisioni rupestri;;Capella;Cirié;1.973;154;;;;;;
476;01\02\063;;;Archeologia preistorica e protostorica;Bousquet-Gourdiole-Guiraud-Charles;La grotte de Labeil;Près de Lauroux (Hérault);;Cahiers Ligures de Préhistoire et d'Archéologie;Montpellier;1.968;212;;;;;;
477;01\02\064;;;Archeologia preistorica e protostorica;Bertone A.;Tra Mediterraneo ed Europa;I grandi avvenimenti culturali della Preistoria e le loro tracce nella valle di Susa;;Civico Museo Archeologico di Chimonte;Condove;1.991;50;;;;;;
478;01\02\065;;;Archeologia preistorica e protostorica;Biagi P.;Archeologia preistorica;Metodologia della ricerca;;Grafo;Brescia;1.980;53;;Pes D.;;;;
479;01\02\066;;;Archeologia preistorica e protostorica;AA.VV.;Analisi dei materiali ceramici;;;;;1.980;56;;Pes D.;;;;
480;01\02\067;;;Archeologia preistorica e protostorica;Ragone - Pagliuca;Il sito protoappenninico di Piano del Capitano;Muro Lucano,Pz;;Centro culturale franco-italiano;Lavello;1.995;115;;;;;;
481;01\02\068\n.16;;;Archeologia preistorica e protostorica;AA.VV.;Preistoria Alpina n.16;anno 1980;;Museo Tridentino di Scienze Naturali;Trento;1.980;170;;;;;;
482;01\02\068\n.17;;;Archeologia preistorica e protostorica;AA.VV.;Preistoria Alpina n.17;anno 1981;;Museo Tridentino di Scienze Naturali;Trento;1.981;75;;;;;;
548;01\02\069;;;Archeologia preistorica e protostorica;AA.VV.;international rock art congress;news 95;;Cesmap;Pinerolo;1.999;136;;;allegato cd;;;
578;01\02\070;;;Archeologia preistorica e protostorica;Giacobini Giacomo;Note di preistoria piemontese;Il paleolitico;;;;1.976;10;;;"fotocopie da ""Studi piemontesi"" marzo 1976  V\1";;;
579;01\02\071;;;Archeologia preistorica e protostorica;AA.VV.;Le Arene Candide;Un archivio della preistoria ligure nel territorio del Finalese;;Soprintendenza Archeologica della Liguria;;;16;;;;;;
580;01\02\072;;;Archeologia preistorica e protostorica;Fedele Francesco;Il primo abitato neolitico delle Alpi centrali;Recenti scavi in Lombardia rvelano una serie di insediamenti databili dall'VIII al III millennio;;;;1.985;15;;;"fotocopie da ""Le Scienze"" settembre 1985";;;
581;01\02\073;;;Archeologia preistorica e protostorica;Bertone Aureliano;Tra Mediterraneo ed Europa;I grandi avvenimenti culturali della preistoria e le loro tracce nella Valle di Susa;;;;1.989;29;;;fotocopie GAT sez.Valsusa;;;
582;01\02\074;;;Archeologia preistorica e protostorica;Bertone Aureliano;Dal neolitico all'età del ferro - con riferimenti particolari allaValle di Susa;Corso di introduzione alle tematiche archeologiche;;;;1.977;6;;;fotocopie;;;
583;01\02\075;;;Archeologia preistorica e protostorica;Capello C.F.;Le sedi trogloditiche preistoriche e storiche nel Piemonte alpino;;;;Roma;1.950;13;;;"fotocopie da ""Bollettino della Società Geografica Italiana"" vol.VIII fascicolo 1 genn\febbr.1950";;;
635;01\02\076;;;Archeologia preistorica e protostorica;AA.VV.;Ricognizioni nell'Ager Faliscus meridionale;;;;;;5;;;fotocopie;;;
636;01\02\077;;;Archeologia preistorica e protostorica;AA.VV.;Deposito sepolcrale con vasi preistorici;in Crispiano presso Taranto;;;;;38;;;fotocopie;;;
637;01\02\078;;;Archeologia preistorica e protostorica;AA.VV.;Pagine di roccia;Il fumetto scientifico;;;;1.981;20;;;;;;
638;01\02\079;;;Archeologia preistorica e protostorica;AA.VV.;Papers in italian archaeology;Prehistory;;;;1.985;10;;;fotocopie;;;
639;01\02\080;;;Archeologia preistorica e protostorica;AA.VV.;Early settlement in the westwrn Mediterraneas islands;;;;;1.984;18;;;fotocopie;;;
640;01\02\081;;;Archeologia preistorica e protostorica;Leroi-Gourhan;L'evoluzione dell'arte paleolitica;;;;;;14;;;fotocopie;;;
641;01\02\082;;;Archeologia preistorica e protostorica;AA.VV.;Il paleolitico;;;Le Scienze Quaderni n.30;;1.986;115;;;fotocopie;;;
642;01\02\083;;;Archeologia preistorica e protostorica;Nisbet R.;I resti vegetali macroscopici di Ostiano,S.Salvatore;antica età del Bronzo;;;;;6;;;fotocopie;;;
643;01\02\084;;;Archeologia preistorica e protostorica;Bertone A.;Gli scavi di S.Pancrazio di Villardora (1982-83);;;Segusium;Susa;1.985;15;;;estratto;;;
644;01\02\085;;;Archeologia preistorica e protostorica;Rossi Gattiglia;Fouille de sauvetage urgent à la Croupe de Casse Rousse;Villar d'Arène, Hautes-Alpes;;Antropologia alpina;Torino;1.982;27;;;fotocopie;;;
645;01\02\086;;;Archeologia preistorica e protostorica;Rossi Gattiglia;Les Ceramiques de l'Abrit de Pinilièrè;Saint-Veran, Hautes-Alpes;;Antropologia alpina;Torino;;21;;;fotocopie;;;
646;01\02\087;;;Archeologia preistorica e protostorica;Sarti Arcangiolo;Rinvenimento di un hachereau;Valle di Popogna ( Livorno );;;;;5;;;;;;
647;01\02\088;;;Archeologia preistorica e protostorica;Sarti Lucia;Lo scavo dell'età del bronzo di Filettole;Prato;;;;;16;;;;;;
648;01\02\089;;;Archeologia preistorica e protostorica;Cresti Gianfranco;Segnalazione di un'hachereau nel paleolitico inferire del Gargano;;;;;;10;;;;;;
649;01\02\090;;;Archeologia preistorica e protostorica;Genick Cocchi;L'insediamento dell'età del bronzo di Candalla;Camaiore (Lucca);;;;;32;;;;;;
650;01\02\091;;;Archeologia preistorica e protostorica;Bartoli-Giannoni;Due giacimenti post paleolitici nella valle del Cornia;Pr. Livorno;;;;;11;;;;;;
651;01\02\092;;;Archeologia preistorica e protostorica;Ronchitelli;L'industria litica proveniente dal sito di Scaramella S. Vito;Foggia;;;;;19;;;;;;
663;01\02\093;;;Archeologia preistorica e protostorica;AA.VV.;La Civiltà di Viverone;La conquista di una nuova frontiera nell'Europa del II millenio a.C.;;Eventi&Progetti;Candelo ( BI );2.004;143;;;;"L'archeologia lacustre del Piemonte_______________________________________pag. 7
Cento anni pioneristici - Luigi Fonati                                                                      pag. 9
Le palafitte, il lago e gli ultimi secoli della storia_______________________________pag. 13
Documenti d'archivio per la storia del lago di Viverone - Luigi Griva                                         pag. 15
Planimetria dei villaggi del Lago di Viverone ed architettura delle abitazioni. Ipotesi ricostruttiva___pag. 17
II sito VI 1 (Emissario) - Aureliano Bertone                                                                    pag. 19 II sito VI 2 (Sant'Antonio) - Aureliano Bertone                                                                pag. 23
La cultura materiale________________________________________________pag. 25
La terracotta - Aureliano Bertone, Sancirò Caranzano, Lorenzo Cesare                                            pag. 27 Dalla pietra ai metalli - Aureliano Bertone, Sandro Caranzano, Pietro Rossi                                       pag. 53
I resti animali dei siti lacustri di Viverone - economia ed ecologia_____________________pag. 71
La collezione: origine, provenienza topografica e studio - Francesco Fedele                                      pag. 73 Analisi della collezione - Francesco Fedele                                                                     pag. 75 Commenti sulla composizione in specie. Paleobiologia ed economia - Francesco Fedele                           pag. 89 Considerazioni di ecologia umana alla scala territoriale - Francesco Fedele                                       pag. 93
Oltre il Lago. Testimonianze emblematiche della Civiltà di Viverone____________________pag. 103
II Tumulo N.l di Pian del Rè presso Apricale, in Provincia d'Imperia - Massimo Ricci                            pag. 105 Alcune riconsiderazioni sulla preistoria del Pinerolese: Roc del Col nel contesto alpino - Renato Nisbet            pag. 109
Una civiltà ad ampia valenza ecologica____________________________________pag. 125
""Cultura"": un dibattito aperto - Aureliano Bertone                                                            pag. 127 Perché una ""Cultura di Viverone"" - Aureliano Bertone, Luigi Fozzati                                           pag. 129
Bibliografìa                                                                                                 pag. 135";;
672;01\02\094;;;Archeologia preistorica e protostorica;AA.VV.;Presenze Longobarde;Collegno nell'alto medioevo;;Città di Collegno;Torino;2.004;273;;;;"Presentazioni 9   Marina Sapelli 11   Umberto D'Ottavio, Carla Gatti
13   Inquadramento geologico e geomorfologico del sito Marco Giardino, Stefania Lucchesi
17   Linsediamento e le necropoli dal VI alI'VIII secolo Luisella Pejrani Baricco
53   Gli oggetti di corredo Caterina Giostra
73   Catalogo
Caterina Giostra
153 I materiali di età romana e le monete Federico Barello
161 Dal tessuto all'abito: moda e acconciature in età longobarda Paola Comba
177 il legno, i tessuti, i cuoi e gli altri materiali organici dalla necropoli longobarda e dall'abitato Elisabetta Castiglioni, Michela Cottini, Elena Rettore, Mauro Rottoli
207 Prelievo, analisi e restauro dei corredi
Milena Magnasco, Alessandro Sani, Enrico Bertazzoli
217 Aspetto fisico, stile di vita e stato di salute del gruppo umano Elena Bedini, Francesca Bertoldi
237 il cavallo Elena Bedini
241 Le abitudini alimentari
Fulvio Bartoli, Elena Bedini
249 La chiesa di S. Massimo ""ad quintum"" : fasi paleocristiane e altomedievali Alberto Crosetto";;
680;01\02\095;;;archeologia preistorica e protostorica;AA.VV.;Alla conquista dell' appennino;Le prime comunitàdelle valli Curone, Grue e Ossona;;Omega Edizioni;Torino;2.004;285;;;;"Presentazioni

11   Marina Sapelli

12   Ennio Negri

13   Anse Imo Morgavi

15   Le ricerche di superficie nelle valli Curone, Grue 
e Ossona 
Augusto Flavio Nebiacolombo

25   Dalla pietra al metallo. Il Neolitico e l'età del 
Rame nelle valli Curone, Grue e Ossona 
Manca Venturino Gambari

45   Studio archeometrico dei manufatti in pietra levi- 
gata del Piemonte sud-orientale: valli Curone, 
Grue e Ossona. 
Roberto Giustetto - Roberto Compagnoni

61   Analisi tecnologica dell'industria in pietra levigata 
Dina Delcaro

69   La circolazione delle materie prime tra il Neolitico 
e l'età del Rame nel Piemonte sud-orientale 
Fabio Negrino - Paola Salzani 
Manca Venturino Gambari

79   Le vie tra il grande fiume ed il mare. Le prime fasi 
dell'età del Bronzo nelle valli Curone e Grue

Filippo Maria Gambari

89   La neolitizzazione nell'Oltrepò pavese

Laura Simone Zopfì

95   La valle Trebbia dal Neolitico all'età del Bronzo

Maria Bernabò Brea

115 Tavole 
LA DOCUMENTAZIONE ARCHEOLOGICA

135 Villaromagnano, loc. Bosco della Tosella 
Fabio Negrino

135 Casalnoceto, fraz. Rosano 
Fabio Negrino

135 Brignano Frascata, loc. Frascata 
Fabio Negrino

135 Demice, fraz. Vigana 
Fabio Negrino

135 Casalnoceto, loc. Cascina Cascinetta (1993) 
Stefania Padovan - Paola Salzani 
Manca Venturino Gambari 

146 Momperone, loc. Rio Carena 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

150 Pozzoi Groppo, fraz. Biagasco 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

151 Brignano Frascata (scavi S. Tinè 1983-84) 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

166 Brignano Frascata, loc. Frascata 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

189 Brignano Frascata, fraz. S. Giorgio

Paola Salzani - Marica Venturino Gambari

190 Casalnoceto, loc. Cascina Cascinetta (1991) 
Paola Salzani - Marica Venturino Gambari

203 Rivanazzano, loc. La Cascinetta

Claudio D'Amico - Laura Simone Zopfì 
Elisabetta Starnini

205 Gremiasco

Stefania Padovan - Marica Venturino Gambari

206 Momperone, fraz. S. Vittore

Paola Salzani - Marica Venturino Gambari

208 Garbagna, loc. Monte di San Vito 
Paola Salzani

208 Demice, fraz. Vigana, loc. Strada Piane 
Paola Salzani

208 Casteinuovo Scrivia, fraz. Ova 
Marica Venturino Gambari

208 Viguzzolo

Marica Venturino Gambari

209 Sale, loc. Cascina Viscarda

Stefania Padovan - Marica Venturino Gambari

210 Volpeglino, loc. Cascina Fiorenzuola

Stefania Padovan - Marica Venturino Gambari
Fabbrica Curone 
Paola Saiwni - Marica Venturino Gambuti

Villaromagnano 
Paola Saiwni - Marica Venturino Gambari

Tortona, corso Romita 
Stefania Padovan - Marica Venturino Gambari

Gremiasco, loc. Guardamonte, riparo III 
(ricerche E. Luzzini, 1971-73) 
Stefania Padovan - Paola Saiwni

Momperone, loc. strada Carona 
Stefania Padovan - Paola Saiwni

Brignano Frascata, fraz. Madonnina 
Marica Venturino Gambari

Casteinuovo Scrivia, via Torino

Dina Delcaro - Giorgio Gaj - Stefania Padovan

Marica Venturino Gambari

Brignano Frascata, loc. Frascata 
Stefania Padovan

Brignano Frascata, fraz. S. Giorgio 
Marina Giaretti

230 Gremiasco (AL) - Cecima (Pv) - Ponte Nizza (Pv),

loc. Guardamonte (scavi F.G. Lo Porto 1952-56)

Marina Giaretti 
233 Momperone, loc. Cimitero

Marina Giaretti - Marica Venturino Gambari

259 Tortona, via G. di Vittorio 
Marina Giaretti

260 Viguzzolo, loc. Rio della Ghisa 
Marina Giaretti

263 Gremiasco, loc. Guardamonte, riparo I 
(rcerche E. Luzzini, 1968) 
Marina Giaretti

264 Montemarzino, loc. Barca 
Marina Giaretti

INDICE / BIBLIOGRAFIA

269 Indice dei siti delle valli Curone, Grue e Ossona 
a cura di Ilaria Leva

271 Bibliografia

a cura di Claudio Predella";;
708;01\02\096;;;archeologia preistorica e protostorica;AA.VV.;I Liguri   -catalogo ridotto-;Un antico popolo europeo tra Alpi e Mediterraneo;;Skira;Milano;2.004;47;;;;"11   Marina Sapelli

12   Ennio Negri

13   Anse Imo Morgavi

15   Le ricerche di superficie nelle valli Curone, Grue 
e Ossona 
Augusto Flavio Nebiacolombo

25   Dalla pietra al metallo. Il Neolitico e l'età del 
Rame nelle valli Curone, Grue e Ossona 
Manca Venturino Gambari

45   Studio archeometrico dei manufatti in pietra levi- 
gata del Piemonte sud-orientale: valli Curone, 
Grue e Ossona. 
Roberto Giustetto - Roberto Compagnoni

61   Analisi tecnologica dell'industria in pietra levigata 
Dina Delcaro

69   La circolazione delle materie prime tra il Neolitico 
e l'età del Rame nel Piemonte sud-orientale 
Fabio Negrino - Paola Salzani 
Manca Venturino Gambari

79   Le vie tra il grande fiume ed il mare. Le prime fasi 
dell'età del Bronzo nelle valli Curone e Grue

Filippo Maria Gambari

89   La neolitizzazione nell'Oltrepò pavese

Laura Simone Zopfì

95   La valle Trebbia dal Neolitico all'età del Bronzo

Maria Bernabò Brea

115 Tavole 
LA DOCUMENTAZIONE ARCHEOLOGICA

135 Villaromagnano, loc. Bosco della Tosella 
Fabio Negrino

135 Casalnoceto, fraz. Rosano 
Fabio Negrino

135 Brignano Frascata, loc. Frascata 
Fabio Negrino

135 Demice, fraz. Vigana 
Fabio Negrino

135 Casalnoceto, loc. Cascina Cascinetta (1993) 
Stefania Padovan - Paola Salzani 
Manca Venturino Gambari 

146 Momperone, loc. Rio Carena 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

150 Pozzoi Groppo, fraz. Biagasco 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

151 Brignano Frascata (scavi S. Tinè 1983-84) 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

166 Brignano Frascata, loc. Frascata 
Stefania Padovan - Paola Salzani 
Marica Venturino Gambari

189 Brignano Frascata, fraz. S. Giorgio

Paola Salzani - Marica Venturino Gambari

190 Casalnoceto, loc. Cascina Cascinetta (1991) 
Paola Salzani - Marica Venturino Gambari

203 Rivanazzano, loc. La Cascinetta

Claudio D'Amico - Laura Simone Zopfì 
Elisabetta Starnini

205 Gremiasco

Stefania Padovan - Marica Venturino Gambari

206 Momperone, fraz. S. Vittore

Paola Salzani - Marica Venturino Gambari

208 Garbagna, loc. Monte di San Vito 
Paola Salzani

208 Demice, fraz. Vigana, loc. Strada Piane 
Paola Salzani

208 Casteinuovo Scrivia, fraz. Ova 
Marica Venturino Gambari

208 Viguzzolo

Marica Venturino Gambari

209 Sale, loc. Cascina Viscarda

Stefania Padovan - Marica Venturino Gambari

210 Volpeglino, loc. Cascina Fiorenzuola

Stefania Padovan - Marica Venturino Gambari
Fabbrica Curone 
Paola Saiwni - Marica Venturino Gambuti

Villaromagnano 
Paola Saiwni - Marica Venturino Gambari

Tortona, corso Romita 
Stefania Padovan - Marica Venturino Gambari

Gremiasco, loc. Guardamonte, riparo III 
(ricerche E. Luzzini, 1971-73) 
Stefania Padovan - Paola Saiwni

Momperone, loc. strada Carona 
Stefania Padovan - Paola Saiwni

Brignano Frascata, fraz. Madonnina 
Marica Venturino Gambari

Casteinuovo Scrivia, via Torino

Dina Delcaro - Giorgio Gaj - Stefania Padovan

Marica Venturino Gambari

Brignano Frascata, loc. Frascata 
Stefania Padovan

Brignano Frascata, fraz. S. Giorgio 
Marina Giaretti

230 Gremiasco (AL) - Cecima (Pv) - Ponte Nizza (Pv),

loc. Guardamonte (scavi F.G. Lo Porto 1952-56)

Marina Giaretti 
233 Momperone, loc. Cimitero

Marina Giaretti - Marica Venturino Gambari

259 Tortona, via G. di Vittorio 
Marina Giaretti

260 Viguzzolo, loc. Rio della Ghisa 
Marina Giaretti

263 Gremiasco, loc. Guardamonte, riparo I 
(rcerche E. Luzzini, 1968) 
Marina Giaretti

264 Montemarzino, loc. Barca 
Marina Giaretti

INDICE / BIBLIOGRAFIA

269 Indice dei siti delle valli Curone, Grue e Ossona 
a cura di Ilaria Leva

271 Bibliografia

a cura di Claudio Predella";;
